2024-08-12 23:52:53,334 - Epoch 1/10 - Train Loss: 0.6933, Val Loss: 0.6932, Val Accuracy: 50.00%
2024-08-12 23:53:00,220 - Epoch 2/10 - Train Loss: 0.6929, Val Loss: 0.6932, Val Accuracy: 50.00%
2024-08-12 23:53:06,826 - Epoch 3/10 - Train Loss: 0.6930, Val Loss: 0.6931, Val Accuracy: 50.00%
2024-08-12 23:53:13,818 - Epoch 4/10 - Train Loss: 0.6933, Val Loss: 0.6931, Val Accuracy: 50.00%
2024-08-12 23:53:20,638 - Epoch 5/10 - Train Loss: 0.6933, Val Loss: 0.6932, Val Accuracy: 50.00%
2024-08-12 23:53:27,586 - Epoch 6/10 - Train Loss: 0.6930, Val Loss: 0.6932, Val Accuracy: 50.00%
2024-08-12 23:53:34,487 - Epoch 7/10 - Train Loss: 0.6932, Val Loss: 0.6932, Val Accuracy: 50.00%
2024-08-12 23:53:41,482 - Epoch 8/10 - Train Loss: 0.6931, Val Loss: 0.6931, Val Accuracy: 50.00%
2024-08-12 23:53:48,237 - Epoch 9/10 - Train Loss: 0.6932, Val Loss: 0.6931, Val Accuracy: 50.00%
2024-08-12 23:53:55,110 - Epoch 10/10 - Train Loss: 0.6929, Val Loss: 0.6931, Val Accuracy: 50.00%
2024-08-12 23:55:00,476 - Epoch 1/10 - Train Loss: 0.6934, Val Loss: 0.6932, Val Accuracy: 50.00%
2024-08-12 23:55:07,053 - Epoch 2/10 - Train Loss: 0.6931, Val Loss: 0.6931, Val Accuracy: 50.00%
2024-08-12 23:55:13,595 - Epoch 3/10 - Train Loss: 0.6936, Val Loss: 0.6931, Val Accuracy: 50.00%
2024-08-12 23:55:20,174 - Epoch 4/10 - Train Loss: 0.6932, Val Loss: 0.6931, Val Accuracy: 50.00%
2024-08-12 23:55:26,720 - Epoch 5/10 - Train Loss: 0.6931, Val Loss: 0.6931, Val Accuracy: 61.00%
2024-08-12 23:55:33,335 - Epoch 6/10 - Train Loss: 0.6931, Val Loss: 0.6931, Val Accuracy: 55.83%
2024-08-12 23:55:39,899 - Epoch 7/10 - Train Loss: 0.6932, Val Loss: 0.6931, Val Accuracy: 51.17%
2024-08-12 23:55:46,380 - Epoch 8/10 - Train Loss: 0.6930, Val Loss: 0.6931, Val Accuracy: 50.00%
2024-08-12 23:55:52,891 - Epoch 9/10 - Train Loss: 0.6931, Val Loss: 0.6931, Val Accuracy: 50.00%
2024-08-12 23:55:59,474 - Epoch 10/10 - Train Loss: 0.6930, Val Loss: 0.6930, Val Accuracy: 50.00%
